gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3415621353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/40838296/original.jpeg	https://www.inaturalist.org/photos/40838296					2014-04-10T00:00:00Z	mitchsmith		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	mitchsmith
3415621353	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/40838297/original.jpeg	https://www.inaturalist.org/photos/40838297					2014-04-10T00:00:00Z	mitchsmith		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	mitchsmith
3415615975	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/168211197/original.jpeg	https://www.inaturalist.org/photos/168211197					2021-09-28T06:30:00Z	Ollie Scully		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ollie Scully
3415485403	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61482895/original.jpg	https://www.inaturalist.org/photos/61482895					2020-01-12T13:45:46Z	stanley8m		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stanley8m
3415434501	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104761412/original.jpg	https://www.inaturalist.org/photos/104761412					2020-11-08T20:46:24Z	Michelle Rawlings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Michelle Rawlings
3408144015	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/166919959/original.jpg	https://www.inaturalist.org/photos/166919959					2021-11-02T03:49:22Z	laurie_wotjobaluk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurie_wotjobaluk
3408144015	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/166919971/original.jpg	https://www.inaturalist.org/photos/166919971					2021-11-02T03:49:22Z	laurie_wotjobaluk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurie_wotjobaluk
3407924208	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/167159914/original.jpg	https://www.inaturalist.org/photos/167159914					2021-11-03T20:38:00Z	bpalmerau		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bpalmerau
3399242600	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/164694648/original.jpeg	https://www.inaturalist.org/photos/164694648					2021-10-20T09:51:04Z	Del		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Del
3399213561	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/164494494/original.jpg	https://www.inaturalist.org/photos/164494494					2021-10-20T18:10:24Z	AldingaRoo		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	AldingaRoo
3399179239	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/163933958/original.jpg	https://www.inaturalist.org/photos/163933958					2021-10-17T23:00:39Z	Paula Boer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula Boer
3399000854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/165058819/original.jpg	https://www.inaturalist.org/photos/165058819					2021-10-23T06:40:55Z	kymelen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kymelen
3399000854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/165058842/original.jpg	https://www.inaturalist.org/photos/165058842					2021-10-23T06:40:55Z	kymelen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kymelen
3399000854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/165058872/original.jpg	https://www.inaturalist.org/photos/165058872					2021-10-23T06:40:55Z	kymelen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kymelen
3399000854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/165058893/original.jpg	https://www.inaturalist.org/photos/165058893					2021-10-23T06:40:55Z	kymelen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	kymelen
3398869366	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/164184176/original.jpg	https://www.inaturalist.org/photos/164184176					2021-10-18T09:01:31Z	David Cunningham		iNaturalist	http://creativecommons.org/licenses/by-nd/4.0/	David Cunningham
3398845074	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/165556423/original.jpeg	https://www.inaturalist.org/photos/165556423					2021-10-25T18:54:33Z	Tanveer Alvi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tanveer Alvi
3384925423	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/161666220/original.jpg	https://www.inaturalist.org/photos/161666220					2021-10-02T20:40:33Z	Karen Retra		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Karen Retra
3384889497	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160051808/original.jpeg	https://www.inaturalist.org/photos/160051808					2017-04-08T18:50:37Z	Kim McCloughan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kim McCloughan
3384889497	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160051927/original.jpeg	https://www.inaturalist.org/photos/160051927					2017-04-08T20:50:08Z	Kim McCloughan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kim McCloughan
3384889497	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160051869/original.jpeg	https://www.inaturalist.org/photos/160051869					2017-04-08T20:49:38Z	Kim McCloughan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kim McCloughan
3384889497	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160051951/original.jpeg	https://www.inaturalist.org/photos/160051951					2017-04-08T20:51:01Z	Kim McCloughan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kim McCloughan
3384800684	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160456360/original.jpeg	https://www.inaturalist.org/photos/160456360					2021-09-30T02:51:38Z	Max Tibby		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Max Tibby
3384179111	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/161185122/original.jpeg	https://www.inaturalist.org/photos/161185122					2021-10-03T02:51:30Z	Del		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Del
3384179111	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/161185104/original.jpeg	https://www.inaturalist.org/photos/161185104					2021-10-03T02:51:30Z	Del		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Del
3384169280	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/161466585/original.jpg	https://www.inaturalist.org/photos/161466585					2021-10-02T06:15:38Z	Sonya Duus		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonya Duus
3384119811	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/160818120/original.jpg	https://www.inaturalist.org/photos/160818120					2021-10-01T10:47:17Z	malbrown2		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	malbrown2
3355776536	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154510392/original.jpeg	https://www.inaturalist.org/photos/154510392					2021-09-02T02:25:36Z	eliap		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eliap
3355681087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155541661/original.jpg	https://www.inaturalist.org/photos/155541661					2021-09-06T17:15:44Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355641535	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154462308/original.jpg	https://www.inaturalist.org/photos/154462308					2021-09-01T15:36:57Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355362458	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154456754/original.jpg	https://www.inaturalist.org/photos/154456754					2021-09-01T15:34:15Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355357097	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155541114/original.jpg	https://www.inaturalist.org/photos/155541114					2021-09-06T17:15:31Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355357097	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155540769/original.jpg	https://www.inaturalist.org/photos/155540769					2021-09-06T17:15:30Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355310989	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155309556/original.jpg	https://www.inaturalist.org/photos/155309556					2021-09-05T21:18:33Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355262521	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154526926/original.jpeg	https://www.inaturalist.org/photos/154526926					2021-09-01T21:00:08Z	Sue Brabender		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sue Brabender
3355262521	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/154526908/original.jpeg	https://www.inaturalist.org/photos/154526908					2021-09-01T21:00:04Z	Sue Brabender		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sue Brabender
3355262103	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155538712/original.jpg	https://www.inaturalist.org/photos/155538712					2021-09-06T17:15:04Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355204120	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155543875/original.jpg	https://www.inaturalist.org/photos/155543875					2021-09-06T17:16:33Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
3355204120	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/155546795/original.jpg	https://www.inaturalist.org/photos/155546795					2021-09-06T17:16:59Z	David Spencer Muirhead		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Spencer Muirhead
