species,event_date,lat,lon,coordinate_uncertainty_in_meters
Anguilla rostrata,1976-11-17T00:00:00Z,30.499722,-86.420278,NA
Anguilla rostrata,1976-11-15T00:00:00Z,30.513056,-86.453889,NA
Anguilla rostrata,1976-07-13T00:00:00Z,30.591111,-86.345278,NA
Anguilla rostrata,1976-07-14T00:00:00Z,30.505833,-86.416389,NA
Anguilla rostrata,1976-11-15T00:00:00Z,30.505833,-86.523889,NA
Anguilla rostrata,1976-05-22T00:00:00Z,30.513056,-86.453889,NA
Anguilla rostrata,1976-05-21T00:00:00Z,30.500278,-86.425,NA
Anguilla rostrata,1976-03-17T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1976-05-22T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1976-03-16T00:00:00Z,30.554167,-86.374167,NA
Anguilla rostrata,1976-02-10T00:00:00Z,30.5125,-86.425,NA
Anguilla rostrata,1976-02-10T00:00:00Z,30.513056,-86.453889,NA
Anguilla rostrata,1975-12-16T00:00:00Z,30.480278,-86.585278,NA
Anguilla rostrata,1975-12-16T00:00:00Z,30.5225,-86.411667,NA
Anguilla rostrata,1975-12-15T00:00:00Z,30.545,-86.355833,NA
Anguilla rostrata,1975-08-25T00:00:00Z,30.528056,-86.466667,NA
Anguilla rostrata,1975-08-25T00:00:00Z,30.513056,-86.453889,NA
Anguilla rostrata,1975-08-25T00:00:00Z,30.480278,-86.585,NA
Anguilla rostrata,1973-08-03T00:00:00Z,31.17,-87.869722,NA
Anguilla rostrata,1972-07-28T00:00:00Z,31.205278,-87.849722,NA
Anguilla rostrata,1974-06-26T00:00:00Z,30.533333,-86.2375,NA
Anguilla rostrata,1974-06-21T00:00:00Z,30.480278,-86.585278,NA
Anguilla rostrata,1974-06-21T00:00:00Z,30.4775,-86.595833,NA
Anguilla rostrata,1974-06-20T00:00:00Z,30.4775,-86.587778,NA
Anguilla rostrata,1974-06-18T00:00:00Z,30.533333,-86.2375,NA
Anguilla rostrata,1972-07-01T00:00:00Z,33.649722,-88.513889,NA
Anguilla rostrata,1972-06-21T00:00:00Z,33.553056,-88.496111,NA
Anguilla rostrata,1971-08-17T00:00:00Z,33.890556,-88.283611,NA
Anguilla rostrata,1971-01-13T00:00:00Z,33.559722,-87.190556,NA
Anguilla rostrata,1970-03-07T00:00:00Z,30.533611,-86.467778,NA
Anguilla rostrata,1970-02-21T00:00:00Z,30.248333,-88.171111,NA
Anguilla rostrata,1970-03-07T00:00:00Z,30.527778,-86.466667,NA
Anguilla rostrata,1969-10-24T00:00:00Z,30.501667,-86.241667,NA
Anguilla rostrata,1969-09-26T00:00:00Z,30.530556,-86.262778,NA
Anguilla rostrata,1970-03-06T00:00:00Z,30.533611,-86.467778,NA
Anguilla rostrata,1969-07-03T00:00:00Z,30.528611,-86.241111,NA
Anguilla rostrata,1969-06-27T00:00:00Z,30.4825,-86.288611,NA
Anguilla rostrata,1969-07-03T00:00:00Z,30.565,-86.231111,NA
